Variant,Iteration,Total_Change,Player_0_Change,Player_1_Change
VANILLA,1,,,
VANILLA,100,0.111918,0.056725,0.055193
VANILLA,200,0.031902,0.019391,0.012511
VANILLA,300,0.014888,0.009052,0.005836
VANILLA,400,0.009149,0.006008,0.003141
VANILLA,500,0.006829,0.002960,0.003869
VANILLA,600,0.005888,0.002176,0.003711
VANILLA,700,0.004619,0.002746,0.001873
VANILLA,800,0.003416,0.001844,0.001572
VANILLA,900,0.003073,0.000543,0.002531
VANILLA,1000,0.003056,0.001798,0.001258
VANILLA,1100,0.002198,0.001457,0.000741
VANILLA,1200,0.001799,0.000662,0.001137
VANILLA,1300,0.001510,0.000646,0.000864
VANILLA,1400,0.001459,0.000626,0.000832
VANILLA,1500,0.001204,0.000416,0.000788
VANILLA,1600,0.001060,0.000497,0.000563
VANILLA,1700,0.001136,0.000549,0.000587
VANILLA,1800,0.000986,0.000447,0.000539
VANILLA,1900,0.001016,0.000577,0.000439
VANILLA,2000,0.000855,0.000537,0.000318
VANILLA,2100,0.000635,0.000326,0.000309
VANILLA,2200,0.000588,0.000312,0.000276
VANILLA,2300,0.000526,0.000182,0.000345
VANILLA,2400,0.000622,0.000332,0.000291
VANILLA,2500,0.000488,0.000265,0.000222
VANILLA,2600,0.000511,0.000087,0.000424
VANILLA,2700,0.000422,0.000145,0.000277
VANILLA,2800,0.000454,0.000206,0.000248
VANILLA,2900,0.000385,0.000177,0.000208
VANILLA,3000,0.000394,0.000115,0.000279
VANILLA,3100,0.000344,0.000104,0.000240
VANILLA,3200,0.000480,0.000265,0.000215
VANILLA,3300,0.000289,0.000156,0.000133
VANILLA,3400,0.000372,0.000193,0.000179
VANILLA,3500,0.000306,0.000239,0.000067
VANILLA,3600,0.000239,0.000148,0.000091
VANILLA,3700,0.000287,0.000107,0.000180
VANILLA,3800,0.000263,0.000137,0.000126
VANILLA,3900,0.000232,0.000079,0.000152
VANILLA,4000,0.000268,0.000155,0.000112
VANILLA,4100,0.000269,0.000145,0.000124
VANILLA,4200,0.000219,0.000098,0.000121
VANILLA,4300,0.000226,0.000149,0.000077
VANILLA,4400,0.000206,0.000074,0.000132
VANILLA,4500,0.000220,0.000134,0.000086
VANILLA,4600,0.000196,0.000114,0.000082
VANILLA,4700,0.000199,0.000082,0.000118
VANILLA,4800,0.000163,0.000056,0.000107
VANILLA,4900,0.000166,0.000066,0.000101
VANILLA,5000,0.000171,0.000126,0.000045
VANILLA,5100,0.000124,0.000070,0.000054
VANILLA,5200,0.000197,0.000097,0.000101
VANILLA,5300,0.000115,0.000088,0.000027
VANILLA,5400,0.000158,0.000127,0.000031
VANILLA,5500,0.000168,0.000061,0.000107
VANILLA,5600,0.000157,0.000082,0.000075
VANILLA,5670,0.000094,,
CFR_PLUS,1,,,
CFR_PLUS,100,0.034260,0.014890,0.019370
CFR_PLUS,200,0.008807,0.004474,0.004333
CFR_PLUS,300,0.005695,0.003207,0.002488
CFR_PLUS,400,0.002779,0.001021,0.001758
CFR_PLUS,500,0.002430,0.001335,0.001095
CFR_PLUS,600,0.002093,0.001103,0.000990
CFR_PLUS,700,0.001031,0.000580,0.000451
CFR_PLUS,800,0.001332,0.000757,0.000574
CFR_PLUS,900,0.000768,0.000293,0.000475
CFR_PLUS,1000,0.000565,0.000280,0.000285
CFR_PLUS,1100,0.000612,0.000284,0.000329
CFR_PLUS,1200,0.000599,0.000358,0.000241
CFR_PLUS,1300,0.000542,0.000303,0.000239
CFR_PLUS,1400,0.000413,0.000189,0.000224
CFR_PLUS,1500,0.000328,0.000119,0.000209
CFR_PLUS,1600,0.000316,0.000114,0.000203
CFR_PLUS,1700,0.000268,0.000105,0.000164
CFR_PLUS,1800,0.000250,0.000090,0.000160
CFR_PLUS,1900,0.000293,0.000157,0.000136
CFR_PLUS,2000,0.000228,0.000160,0.000068
CFR_PLUS,2100,0.000285,0.000156,0.000129
CFR_PLUS,2200,0.000216,0.000108,0.000108
CFR_PLUS,2300,0.000193,0.000064,0.000130
CFR_PLUS,2400,0.000130,0.000078,0.000052
CFR_PLUS,2500,0.000148,0.000054,0.000094
CFR_PLUS,2600,0.000171,0.000120,0.000051
CFR_PLUS,2700,0.000167,0.000075,0.000091
CFR_PLUS,2780,0.000092,,
LCFR,1,,,
LCFR,100,0.018558,0.012950,0.005609
LCFR,200,0.006055,0.003404,0.002651
LCFR,300,0.002935,0.001486,0.001449
LCFR,400,0.001934,0.000954,0.000980
LCFR,500,0.001316,0.000640,0.000676
LCFR,600,0.001007,0.000487,0.000520
LCFR,700,0.000820,0.000391,0.000429
LCFR,800,0.000662,0.000306,0.000356
LCFR,900,0.000560,0.000264,0.000295
LCFR,1000,0.000478,0.000225,0.000253
LCFR,1100,0.000408,0.000193,0.000215
LCFR,1200,0.000361,0.000169,0.000192
LCFR,1300,0.000319,0.000149,0.000170
LCFR,1400,0.000286,0.000134,0.000152
LCFR,1500,0.000259,0.000121,0.000138
LCFR,1600,0.000233,0.000108,0.000126
LCFR,1700,0.000213,0.000099,0.000114
LCFR,1800,0.000197,0.000091,0.000106
LCFR,1900,0.000180,0.000083,0.000097
LCFR,2000,0.000168,0.000078,0.000090
LCFR,2100,0.000155,0.000071,0.000084
LCFR,2200,0.000145,0.000067,0.000078
LCFR,2300,0.000135,0.000062,0.000073
LCFR,2400,0.000128,0.000059,0.000069
LCFR,2500,0.000119,0.000055,0.000064
LCFR,2600,0.000113,0.000052,0.000061
LCFR,2700,0.000107,0.000050,0.000057
LCFR,2800,0.000101,0.000047,0.000054
LCFR,2820,0.000100,,
DCFR,1,,,
DCFR,100,0.009858,0.004952,0.004906
DCFR,200,0.003972,0.001811,0.002160
DCFR,300,0.002532,0.001638,0.000894
DCFR,400,0.001150,0.000443,0.000707
DCFR,500,0.000674,0.000211,0.000463
DCFR,600,0.000679,0.000334,0.000345
DCFR,700,0.000598,0.000366,0.000232
DCFR,800,0.000180,0.000040,0.000139
DCFR,900,0.000397,0.000229,0.000168
DCFR,1000,0.000296,0.000144,0.000152
DCFR,1020,0.000099,,
